Text,Label
" Citi Global Wealth Investments FX Snapshot Major Currencies Performance Source: Bloomberg L.P., as of Feb 17, 2023 (cut off time is NY Time 5:00pm); Citi (forecasts as of Feb 16, 2023) CCY Close Weekly Change 1 month high 1 month low 1 month change 3 month high 3 month low 3 month change 52 week high 52 week low Year-To- Date Change USD 103.86 0.2% 103.92 101.22 1.4% 107.84 101.22 -2.7% 114.78 95.69 0.3% EUR/USD 1.0695 0.2% 1.0990 1.0674 -0.9% 1.0990 1.0242 3.2% 1.1390 0.9536 -0.1% USD/JPY 134.15 2.1% 134.16 128.12 4.7% 142.14 127.87 -4.3% 151.95 114.41 2.3% GBP/USD 1.2037 -0.2% 1.2408 1.1993 -2.0% 1.2426 1.1823 1.5% 1.3639 1.0350 -0.4% USD/CAD 1.3473 1.0% 1.3493 1.3291 0.6% 1.3699 1.3291 1.1% 1.3977 1.2403 -0.6% AUD/USD 0.6879 -0.5% 0.7137 0.6879 -1.6% 0.7137 0.6605 2.9% 0.7661 0.6170 1.0% NZD/USD 0.6247 -0.9% 0.6506 0.6247 -2.8% 0.6506 0.6101 1.9% 0.7034 0.5512 -1.6% USD/CHF 0.9252 0.2% 0.9283 0.9083 0.3% 0.9585 0.9083 -2.8% 1.0148 0.9061 0.1% USD/CNY 6.8686 0.8% 6.8686 6.7311 1.4% 7.2069 6.7010 -4.0% 7.3274 6.3065 -0.4% USD/CNH 6.8738 0.7% 6.8738 6.7195 1.5% 7.2474 6.7139 -3.8% 7.3749 6.3060 -0.7% GOLD 1842.36 -1.2% 1950.52 1836.01 -3.5% 1950.52 1738.05 4.7% 2070.44 1614.96 1.0% CCY Last Trading Day Change Technical levels Citi Forecasts Close Day High Day Low Daily Change Sup2 Sup1 Res1 Res2 0-3M 6-12M LT USD 103.86 104.67 103.84 0.01% 99.82 100.82 104.67 105.63 101.64 96.83 93.67 EUR/USD 1.0695 1.0698 1.0613 0.20% 1.0573 1.0613 1.1033 1.1137 1.10 1.15 1.20 USD/JPY 134.15 135.10 133.94 0.16% 125.09 126.36 135.10 135.60 133 120 130 GBP/USD 1.2037 1.2049 1.1915 0.37% 1.1760 1.1842 1.2269 1.2448 1.22 1.25 1.40 USD/CAD 1.3473 1.3537 1.3450 0.11% 1.3226 1.3262 1.3537 1.3704 1.35 1.30 1.25 AUD/USD 0.6879 0.6884 0.6812 0.00% 0.6585 0.6805 0.7137 0.7158 0.70 0.73 0.76 NZD/USD 0.6247 0.6264 0.6194 -0.16% 0.6061 0.6188 0.6538 0.6631 0.63 0.65 0.67 USD/CHF 0.9252 0.9332 0.9241 -0.04% 0.8986 0.9018 0.9409 0.9651 0.90 0.89 0.88 USD/CNY 6.8686 6.8851 6.8658 0.20% -- -- -- -- 6.70 6.60 6.80 USD/CNH 6.8738 6.8967 6.8684 0.08% 6.6975 6.7944 6.8967 6.9298 -- -- -- GOLD 1842.36 1843.61 1819.02 0.33% $1,787 $1,819 $1,966 $1,998 $1,800 $1,925 -- *INVESTMENT PRODUCTS: NOT A BANK DEPOSIT.",0
NOT GOVERNMENT INSURED.,1
NO BANK GUARANTEE.,1
"MAY LOSE VALUE February 20, 2023",1
" Source: Bloomberg L.P. (K = Thousand, M = Million, B = Billion) Important Economic Data (Feb 20, 2023 Feb 24, 2023) Citi Global Wealth Investments FX Snapshot Time Event Period Actual Survey Prior Monday 02/20/23 23:00 EC Consumer Confidence Feb -- -- -20.9 Tuesday 02/21/23 08:30 AU RBA Minutes of February Policy Meeting Feb 02/21/23 17:00 EC S&P Global Eurozone Manufacturing PMI Feb -- -- 48.8 02/21/23 17:00 EC S&P Global Eurozone Services PMI Feb -- -- 50.8 02/21/23 17:30 UK S&P Global/CIPS UK Manufacturing PMI Feb -- -- 47 02/21/23 17:30 UK S&P Global/CIPS UK Services PMI Feb -- -- 48.7 02/21/23 21:30 CA Retail Sales MoM Dec -- -- -0.10% 02/21/23 21:30 CA CPI YoY Jan -- -- 6.30% 02/21/23 21:30 CA CPI Core- Median YoY% Jan -- -- 5.00% Wednesday 02/22/23 05:45 NZ Trade Balance NZD Jan -- -- -475m 02/22/23 08:30 AU Wage Price Index YoY 4Q -- -- 3.10% 02/22/23 09:00 NZ RBNZ Official Cash Rate Feb -- -- 4.25% 02/22/23 17:00 GE IFO Business Climate Feb -- -- 90.2 Thursday 02/23/23 03:00 US FOMC Meeting Minutes Feb -- -- -- 02/23/23 08:30 AU Private Capital Expenditure 4Q -- -- -0.60% 02/23/23 18:00 EC CPI YoY Jan -- -- 8.50% 02/23/23 21:30 US GDP Annualized QoQ 4Q -- 3.00% 2.90% 02/23/23 21:30 US Initial Jobless Claims Feb -- -- -- Friday 02/24/23 07:30 JN Natl CPI Ex Fresh Food YoY Jan -- -- 4.00% 02/24/23 21:30 US Personal Income Jan -- 0.60% 0.20% 02/24/23 21:30 US Personal Spending Jan -- 0.90% -0.20% 02/24/23 23:00 US YOU. of Mich.",0
Sentiment Feb -- 66.4 66.4,0
 Important Disclosure Citi analysts refers to investment professionals within Citi Research (CR) and Citi Global Markets (CGM) and voting members of the Global Investment Committee of Global Wealth Management.,1
Citibank N.A.,1
and its affiliates / subsidiaries provide no independent research or analysis in the substance or preparation of this document.,1
Investment products are not available to US persons and not all products and services are provided by all affiliates or are available at all locations.,1
